epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,472.492,0.64593,0.34546,0.92349,0.98132,0.991,0.98672,0.81135,0.76925,0.32303,0.94873,0.0004159,0.0004159,0.0004159
61,480.133,0.65567,0.34813,0.92564,0.97913,0.99301,0.9865,0.80125,0.79719,0.3343,0.95446,0.000406,0.000406,0.000406
62,487.941,0.65576,0.35002,0.93118,0.97384,0.99083,0.98676,0.81017,0.77473,0.33155,0.9484,0.0003961,0.0003961,0.0003961
63,495.802,0.64072,0.34772,0.92717,0.96249,0.98595,0.9849,0.80685,0.76205,0.33053,0.94951,0.0003862,0.0003862,0.0003862
64,503.59,0.66728,0.35713,0.9423,0.98669,0.9691,0.98817,0.80681,0.79357,0.34297,0.9555,0.0003763,0.0003763,0.0003763
65,511.789,0.64749,0.34493,0.92649,0.97949,0.98625,0.99062,0.80872,0.77437,0.33191,0.95357,0.0003664,0.0003664,0.0003664
66,519.695,0.63784,0.3351,0.92067,0.97822,0.98595,0.9845,0.79723,0.77698,0.32815,0.9568,0.0003565,0.0003565,0.0003565
67,529.367,0.63171,0.33925,0.91787,0.97717,0.99122,0.98781,0.80673,0.76999,0.31902,0.95228,0.0003466,0.0003466,0.0003466
68,537.822,0.642,0.3427,0.92875,0.97893,0.98443,0.98786,0.80562,0.7907,0.32324,0.9611,0.0003367,0.0003367,0.0003367
69,545.509,0.63307,0.3357,0.92313,0.97695,0.99158,0.9853,0.81642,0.75572,0.31557,0.94955,0.0003268,0.0003268,0.0003268
70,553.646,0.63657,0.33272,0.92206,0.98668,0.99172,0.9856,0.81066,0.75766,0.31459,0.94977,0.0003169,0.0003169,0.0003169
71,561.473,0.61992,0.32469,0.91117,0.97457,0.97866,0.97651,0.8064,0.76644,0.3255,0.95455,0.000307,0.000307,0.000307
72,569.185,0.62911,0.33109,0.91919,0.98741,0.98582,0.98603,0.81261,0.76286,0.31281,0.95418,0.0002971,0.0002971,0.0002971
73,577.109,0.61249,0.32724,0.91849,0.97977,0.98277,0.98742,0.81382,0.76442,0.31587,0.95233,0.0002872,0.0002872,0.0002872
74,588.672,0.63164,0.32784,0.92132,0.98442,0.98501,0.98548,0.79543,0.80389,0.32239,0.96229,0.0002773,0.0002773,0.0002773
75,597.142,0.6295,0.32234,0.92401,0.98409,0.99273,0.98542,0.80638,0.77565,0.31151,0.961,0.0002674,0.0002674,0.0002674
